time,open,high,low,close,SPY
1392163200,2.45,2.45,2.45,2.45,182.07
1392249600,2.41,2.41,2.41,2.41,183.01
1392336000,2.43,2.43,2.43,2.43,184.02
1392681600,2.4,2.4,2.4,2.4,184.24
1392768000,2.4,2.4,2.4,2.4,183.02
1392854400,2.42,2.42,2.42,2.42,184.1
1392940800,2.4,2.4,2.4,2.4,183.89
1393200000,2.4,2.4,2.4,2.4,184.91
1393286400,2.36,2.36,2.36,2.36,184.84
1393372800,2.34,2.34,2.34,2.34,184.85
1393459200,2.32,2.32,2.32,2.32,185.82
1393545600,2.33,2.33,2.33,2.33,186.29
1393804800,2.28,2.28,2.28,2.28,184.98
1393891200,2.37,2.37,2.37,2.37,187.58
1393977600,2.37,2.37,2.37,2.37,187.75
1394064000,2.37,2.37,2.37,2.37,188.18
1394150400,2.42,2.42,2.42,2.42,188.26
1394409600,2.42,2.42,2.42,2.42,188.16
1394496000,2.4,2.4,2.4,2.4,187.23
1394582400,2.36,2.36,2.36,2.36,187.28
1394668800,2.32,2.32,2.32,2.32,185.18
1394755200,2.29,2.29,2.29,2.29,184.66
1395014400,2.32,2.32,2.32,2.32,186.33
1395100800,2.32,2.32,2.32,2.32,187.66
1395187200,2.31,2.31,2.31,2.31,186.66
1395273600,2.34,2.34,2.34,2.34,187.747
1395360000,2.3,2.3,2.3,2.3,186.2
1395619200,2.27,2.27,2.27,2.27,185.43
1395705600,2.28,2.28,2.28,2.28,186.31
1395792000,2.26,2.26,2.26,2.26,184.97
1395878400,2.24,2.24,2.24,2.24,184.58
1395964800,2.28,2.28,2.28,2.28,185.49
1396224000,2.29,2.29,2.29,2.29,187.01
1396310400,2.33,2.33,2.33,2.33,188.25
1396396800,2.35,2.35,2.35,2.35,188.88
1396483200,2.34,2.34,2.34,2.34,188.63
1396569600,2.31,2.31,2.31,2.31,186.4
1396828800,2.3,2.3,2.3,2.3,184.34
1396915200,2.29,2.29,2.29,2.29,185.1
1397001600,2.34,2.34,2.34,2.34,187.09
1397088000,2.28,2.28,2.28,2.28,183.155
1397174400,2.26,2.26,2.26,2.26,181.51
1397433600,2.28,2.28,2.28,2.28,182.9401
1397520000,2.25,2.25,2.25,2.25,184.2
1397606400,2.26,2.26,2.26,2.26,186.125
1397692800,2.3,2.3,2.3,2.3,186.39
1398038400,2.31,2.31,2.31,2.31,187.04
1398124800,2.28,2.28,2.28,2.28,187.89
1398211200,2.27,2.27,2.27,2.27,187.45
1398297600,2.27,2.27,2.27,2.27,187.83
1398384000,2.25,2.25,2.25,2.25,186.29
1398643200,2.26,2.26,2.26,2.26,186.875
1398729600,2.27,2.27,2.27,2.27,187.75
1398816000,2.25,2.25,2.25,2.25,188.31
1398902400,2.22,2.22,2.22,2.22,188.325
1398988800,2.18,2.18,2.18,2.18,188.06
1399248000,2.2,2.2,2.2,2.2,188.42
1399334400,2.18,2.18,2.18,2.18,186.78
1399420800,2.21,2.21,2.21,2.21,187.88
1399507200,2.21,2.21,2.21,2.21,187.675
1399593600,2.22,2.22,2.22,2.22,187.96
